config_id,repeat,best_cost,best_cost_minutes,best_iteration,avg_cost_final_minutes,diversity_final,iterations_done,execution_time,big_shakes_count,big_shakes_at_iter,last_big_shake_iter,ants,iterations,alpha,beta,evaporation,patience,patience_big_shake,big_shake_evaporation,big_shake_duration,intensity_big_shake,tau_min,tau_max
1,1,82706.4545,1378.4409,598,1962.268,0.2081,898,29.19,8,"[106, 208, 309, 409, 509, 611, 711, 811]",811,40,4000,0.5,2.0,0.05,300,100,0.4,20,0.3,0.01,10.0
1,2,79532.9988,1325.55,610,1854.5248,0.2042,910,58.43,8,"[104, 208, 312, 414, 514, 615, 715, 815]",815,40,4000,0.5,2.0,0.05,300,100,0.4,20,0.3,0.01,10.0
1,3,84807.316,1413.4553,167,1979.1952,0.2492,467,34.73,4,"[108, 212, 312, 412]",412,40,4000,0.5,2.0,0.05,300,100,0.4,20,0.3,0.01,10.0
1,4,78604.9256,1310.0821,224,1943.7623,0.1516,524,39.05,5,"[107, 208, 309, 409, 509]",509,40,4000,0.5,2.0,0.05,300,100,0.4,20,0.3,0.01,10.0
1,5,82908.77,1381.8128,527,1945.5814,0.1578,827,67.84,8,"[104, 205, 306, 410, 511, 612, 712, 812]",812,40,4000,0.5,2.0,0.05,300,100,0.4,20,0.3,0.01,10.0
1,6,82204.3897,1370.0732,680,2022.8786,0.2447,980,80.23,9,"[106, 206, 306, 407, 507, 608, 710, 810, 910]",910,40,4000,0.5,2.0,0.05,300,100,0.4,20,0.3,0.01,10.0
1,7,78540.0395,1309.0007,394,1877.3722,0.1968,694,56.29,6,"[110, 214, 315, 417, 517, 617]",617,40,4000,0.5,2.0,0.05,300,100,0.4,20,0.3,0.01,10.0
1,8,72460.727,1207.6788,668,1963.7037,0.2424,968,63.6,9,"[111, 212, 315, 416, 516, 616, 717, 817, 917]",917,40,4000,0.5,2.0,0.05,300,100,0.4,20,0.3,0.01,10.0
1,9,91686.7527,1528.1125,78,2009.3009,0.2474,378,31.03,3,"[106, 206, 306]",306,40,4000,0.5,2.0,0.05,300,100,0.4,20,0.3,0.01,10.0
1,10,78214.574,1303.5762,218,1922.8591,0.1802,518,43.09,5,"[107, 212, 313, 413, 513]",513,40,4000,0.5,2.0,0.05,300,100,0.4,20,0.3,0.01,10.0
2,1,82804.6944,1380.0782,203,1978.8919,0.2188,503,41.13,4,"[103, 204, 304, 404]",404,40,4000,0.5,2.0,0.05,300,100,0.4,20,0.6,0.01,10.0
2,2,81071.1449,1351.1857,196,2003.5004,0.2212,496,40.85,4,"[108, 209, 309, 409]",409,40,4000,0.5,2.0,0.05,300,100,0.4,20,0.6,0.01,10.0
2,3,80873.8601,1347.8977,389,1899.4989,0.2199,689,51.58,6,"[109, 210, 310, 411, 511, 611]",611,40,4000,0.5,2.0,0.05,300,100,0.4,20,0.6,0.01,10.0
2,4,84728.418,1412.1403,342,2050.824,0.2924,642,52.69,6,"[103, 205, 306, 407, 507, 607]",607,40,4000,0.5,2.0,0.05,300,100,0.4,20,0.6,0.01,10.0
2,5,85695.5543,1428.2592,199,1969.74,0.2343,499,41.71,4,"[109, 212, 312, 412]",412,40,4000,0.5,2.0,0.05,300,100,0.4,20,0.6,0.01,10.0
2,6,87276.6788,1454.6113,328,2019.3864,0.1855,628,52.53,6,"[108, 208, 308, 409, 509, 609]",609,40,4000,0.5,2.0,0.05,300,100,0.4,20,0.6,0.01,10.0
2,7,82827.5966,1380.4599,301,1985.4494,0.2312,601,50.37,5,"[106, 207, 310, 410, 510]",510,40,4000,0.5,2.0,0.05,300,100,0.4,20,0.6,0.01,10.0
2,8,94011.9545,1566.8659,326,2017.5331,0.1685,626,51.34,6,"[107, 207, 307, 408, 508, 608]",608,40,4000,0.5,2.0,0.05,300,100,0.4,20,0.6,0.01,10.0
2,9,85186.185,1419.7698,132,2044.8831,0.1689,432,35.47,4,"[112, 213, 313, 413]",413,40,4000,0.5,2.0,0.05,300,100,0.4,20,0.6,0.01,10.0
2,10,82765.392,1379.4232,297,1930.7689,0.2435,597,45.06,5,"[113, 214, 315, 415, 515]",515,40,4000,0.5,2.0,0.05,300,100,0.4,20,0.6,0.01,10.0
3,1,76484.4279,1274.7405,273,1963.339,0.2362,573,44.97,2,"[266, 517]",517,40,4000,0.5,2.0,0.05,300,250,0.4,50,0.3,0.01,10.0
3,2,75258.9065,1254.3151,356,1736.4488,0.1335,656,53.21,2,"[267, 518]",518,40,4000,0.5,2.0,0.05,300,250,0.4,50,0.3,0.01,10.0
3,3,74167.0636,1236.1177,242,1925.5597,0.1587,542,44.94,2,"[269, 519]",519,40,4000,0.5,2.0,0.05,300,250,0.4,50,0.3,0.01,10.0
3,4,86806.1052,1446.7684,302,1947.7295,0.1937,602,46.6,2,"[257, 508]",508,40,4000,0.5,2.0,0.05,300,250,0.4,50,0.3,0.01,10.0
3,5,82665.1823,1377.753,457,1963.387,0.143,757,62.18,2,"[261, 513]",513,40,4000,0.5,2.0,0.05,300,250,0.4,50,0.3,0.01,10.0
3,6,73304.2171,1221.737,451,1818.0566,0.125,751,60.62,2,"[271, 522]",522,40,4000,0.5,2.0,0.05,300,250,0.4,50,0.3,0.01,10.0
3,7,83258.6227,1387.6437,349,1790.3053,0.1479,649,54.53,2,"[262, 513]",513,40,4000,0.5,2.0,0.05,300,250,0.4,50,0.3,0.01,10.0
3,8,79327.7763,1322.1296,374,1766.0631,0.1377,674,64.25,2,"[267, 521]",521,40,4000,0.5,2.0,0.05,300,250,0.4,50,0.3,0.01,10.0
3,9,81862.4191,1364.3737,238,1863.5139,0.124,538,51.16,2,"[266, 516]",516,40,4000,0.5,2.0,0.05,300,250,0.4,50,0.3,0.01,10.0
3,10,75187.1423,1253.119,592,1861.8458,0.1607,892,75.94,3,"[261, 517, 768]",768,40,4000,0.5,2.0,0.05,300,250,0.4,50,0.3,0.01,10.0
4,1,74378.5251,1239.6421,551,1971.3877,0.2143,851,70.31,3,"[260, 511, 763]",763,40,4000,0.5,2.0,0.05,300,250,0.4,50,0.6,0.01,10.0
4,2,80606.7037,1343.4451,207,1761.6912,0.1125,507,43.48,1,[262],262,40,4000,0.5,2.0,0.05,300,250,0.4,50,0.6,0.01,10.0
4,3,70270.3034,1171.1717,233,1944.1314,0.1988,533,44.68,2,"[270, 520]",520,40,4000,0.5,2.0,0.05,300,250,0.4,50,0.6,0.01,10.0
4,4,78760.6786,1312.678,205,1849.0671,0.1391,505,42.77,1,[265],265,40,4000,0.5,2.0,0.05,300,250,0.4,50,0.6,0.01,10.0
4,5,78431.7476,1307.1958,262,1976.1457,0.1383,562,46.84,2,"[266, 516]",516,40,4000,0.5,2.0,0.05,300,250,0.4,50,0.6,0.01,10.0
4,6,68870.5471,1147.8425,253,1769.5374,0.1368,553,47.21,2,"[266, 516]",516,40,4000,0.5,2.0,0.05,300,250,0.4,50,0.6,0.01,10.0
4,7,77107.7078,1285.1285,513,1811.9029,0.1467,813,66.93,3,"[267, 521, 771]",771,40,4000,0.5,2.0,0.05,300,250,0.4,50,0.6,0.01,10.0
4,8,86538.6424,1442.3107,260,1951.768,0.1348,560,46.82,2,"[264, 514]",514,40,4000,0.5,2.0,0.05,300,250,0.4,50,0.6,0.01,10.0
4,9,77973.0902,1299.5515,436,1785.4666,0.1364,736,62.6,2,"[270, 524]",524,40,4000,0.5,2.0,0.05,300,250,0.4,50,0.6,0.01,10.0
4,10,78959.9489,1315.9991,260,1911.0092,0.145,560,47.19,2,"[272, 522]",522,40,4000,0.5,2.0,0.05,300,250,0.4,50,0.6,0.01,10.0
5,1,75052.291,1250.8715,338,1645.3184,0.0771,638,55.32,0,[],-1,40,4000,0.5,2.0,0.05,300,999999,0.4,0,0.3,0.01,10.0
5,2,77418.4769,1290.3079,376,1771.6719,0.0765,676,57.08,0,[],-1,40,4000,0.5,2.0,0.05,300,999999,0.4,0,0.3,0.01,10.0
5,3,75364.4318,1256.0739,237,1324.8714,0.0332,537,45.38,0,[],-1,40,4000,0.5,2.0,0.05,300,999999,0.4,0,0.3,0.01,10.0
5,4,75966.3653,1266.1061,237,1388.6753,0.0576,537,60.45,0,[],-1,40,4000,0.5,2.0,0.05,300,999999,0.4,0,0.3,0.01,10.0
5,5,71581.0826,1193.018,277,1737.8701,0.1015,577,69.12,0,[],-1,40,4000,0.5,2.0,0.05,300,999999,0.4,0,0.3,0.01,10.0
5,6,77788.4535,1296.4742,207,1570.3598,0.0761,507,62.73,0,[],-1,40,4000,0.5,2.0,0.05,300,999999,0.4,0,0.3,0.01,10.0
5,7,76244.1892,1270.7365,356,1620.5577,0.0507,656,60.66,0,[],-1,40,4000,0.5,2.0,0.05,300,999999,0.4,0,0.3,0.01,10.0
5,8,83402.9644,1390.0494,288,1754.2575,0.0441,588,48.01,0,[],-1,40,4000,0.5,2.0,0.05,300,999999,0.4,0,0.3,0.01,10.0
5,9,77645.0075,1294.0835,439,1589.3628,0.0287,739,58.3,0,[],-1,40,4000,0.5,2.0,0.05,300,999999,0.4,0,0.3,0.01,10.0
5,10,81189.2917,1353.1549,460,1531.3317,0.0691,760,60.76,0,[],-1,40,4000,0.5,2.0,0.05,300,999999,0.4,0,0.3,0.01,10.0
6,1,81170.2723,1352.8379,227,1973.0109,0.2236,877,56.48,8,"[108, 212, 314, 414, 514, 614, 714, 814]",814,40,4000,0.5,2.0,0.05,650,100,0.4,20,0.3,0.01,10.0
6,2,83448.0725,1390.8012,1074,1945.2139,0.185,1724,55.91,17,"[107, 212, 312, 412, 512, 613, 715, 815, 915, 1015, 1116, 1216, 1316, 1416, 1516, 1616, 1716]",1716,40,4000,0.5,2.0,0.05,650,100,0.4,20,0.3,0.01,10.0
6,3,81500.228,1358.3371,628,1902.6352,0.2271,1278,39.87,12,"[106, 209, 309, 409, 509, 609, 711, 811, 911, 1011, 1111, 1211]",1211,40,4000,0.5,2.0,0.05,650,100,0.4,20,0.3,0.01,10.0
6,4,83804.8002,1396.7467,605,2052.8665,0.2538,1255,39.04,12,"[106, 209, 310, 410, 510, 611, 711, 811, 911, 1011, 1111, 1211]",1211,40,4000,0.5,2.0,0.05,650,100,0.4,20,0.3,0.01,10.0
6,5,94441.1647,1574.0194,52,1974.8385,0.1787,702,22.45,6,"[105, 205, 305, 405, 505, 605]",605,40,4000,0.5,2.0,0.05,650,100,0.4,20,0.3,0.01,10.0
6,6,83603.0798,1393.3847,313,2004.9621,0.2597,963,30.91,9,"[106, 213, 315, 415, 515, 615, 715, 815, 915]",915,40,4000,0.5,2.0,0.05,650,100,0.4,20,0.3,0.01,10.0
6,7,82366.1972,1372.77,410,2030.4967,0.26,1060,34.28,10,"[111, 213, 314, 415, 515, 615, 715, 815, 915, 1015]",1015,40,4000,0.5,2.0,0.05,650,100,0.4,20,0.3,0.01,10.0
6,8,78927.464,1315.4577,907,1991.1799,0.2714,1557,48.5,15,"[106, 209, 309, 410, 511, 611, 711, 811, 912, 1012, 1112, 1212, 1312, 1412, 1512]",1512,40,4000,0.5,2.0,0.05,650,100,0.4,20,0.3,0.01,10.0
6,9,85434.715,1423.9119,600,2071.584,0.2715,1250,39.01,12,"[109, 215, 316, 416, 516, 619, 719, 819, 919, 1019, 1119, 1219]",1219,40,4000,0.5,2.0,0.05,650,100,0.4,20,0.3,0.01,10.0
6,10,75670.2938,1261.1716,1798,2112.4339,0.2891,2448,76.06,24,"[108, 209, 309, 411, 511, 615, 719, 819, 919, 1019, 1119, 1220, 1320, 1421, 1521, 1621, 1721, 1822, 1922, 2022, 2122, 2222, 2322, 2422]",2422,40,4000,0.5,2.0,0.05,650,100,0.4,20,0.3,0.01,10.0
7,1,88354.4982,1472.575,130,2054.6962,0.2554,780,24.34,7,"[109, 211, 311, 411, 511, 611, 711]",711,40,4000,0.5,2.0,0.05,650,100,0.4,20,0.6,0.01,10.0
7,2,82553.009,1375.8835,1029,1990.465,0.2609,1679,52.29,16,"[109, 210, 310, 410, 510, 611, 711, 811, 911, 1011, 1112, 1212, 1312, 1412, 1512, 1612]",1612,40,4000,0.5,2.0,0.05,650,100,0.4,20,0.6,0.01,10.0
7,3,84297.7768,1404.9629,381,2069.8163,0.3174,1031,32.74,10,"[105, 206, 308, 409, 509, 609, 709, 809, 909, 1009]",1009,40,4000,0.5,2.0,0.05,650,100,0.4,20,0.6,0.01,10.0
7,4,76150.6667,1269.1778,829,2014.4204,0.2377,1479,60.58,14,"[107, 208, 308, 408, 509, 609, 709, 809, 910, 1010, 1110, 1210, 1310, 1410]",1410,40,4000,0.5,2.0,0.05,650,100,0.4,20,0.6,0.01,10.0
7,5,73652.1912,1227.5365,328,1985.2705,0.2433,978,30.52,9,"[108, 209, 310, 411, 511, 611, 711, 811, 911]",911,40,4000,0.5,2.0,0.05,650,100,0.4,20,0.6,0.01,10.0
7,6,87628.102,1460.4684,230,1972.3763,0.2477,880,27.09,8,"[112, 212, 313, 413, 513, 613, 713, 813]",813,40,4000,0.5,2.0,0.05,650,100,0.4,20,0.6,0.01,10.0
7,7,86487.1717,1441.4529,496,2059.1877,0.2956,1146,35.23,11,"[104, 206, 306, 407, 511, 611, 711, 811, 911, 1011, 1111]",1111,40,4000,0.5,2.0,0.05,650,100,0.4,20,0.6,0.01,10.0
7,8,81094.6005,1351.5767,392,2114.1164,0.3043,1042,32.25,10,"[105, 209, 309, 410, 510, 610, 710, 810, 910, 1010]",1010,40,4000,0.5,2.0,0.05,650,100,0.4,20,0.6,0.01,10.0
7,9,86983.2584,1449.721,289,2058.4354,0.3007,939,29.09,9,"[106, 207, 309, 409, 509, 609, 709, 809, 909]",909,40,4000,0.5,2.0,0.05,650,100,0.4,20,0.6,0.01,10.0
7,10,83515.7919,1391.9299,621,2053.1385,0.2629,1271,39.15,12,"[108, 212, 312, 412, 512, 612, 713, 813, 913, 1013, 1113, 1213]",1213,40,4000,0.5,2.0,0.05,650,100,0.4,20,0.6,0.01,10.0
8,1,79350.6559,1322.5109,1298,1855.3926,0.1336,1948,59.88,7,"[260, 511, 762, 1015, 1265, 1516, 1766]",1766,40,4000,0.5,2.0,0.05,650,250,0.4,50,0.3,0.01,10.0
8,2,75439.8667,1257.3311,260,1867.3611,0.1687,910,28.47,3,"[267, 517, 767]",767,40,4000,0.5,2.0,0.05,650,250,0.4,50,0.3,0.01,10.0
8,3,77356.5471,1289.2758,441,1872.204,0.1951,1091,39.61,4,"[260, 511, 761, 1011]",1011,40,4000,0.5,2.0,0.05,650,250,0.4,50,0.3,0.01,10.0
8,4,74871.4153,1247.8569,1657,1869.253,0.143,2307,74.03,9,"[263, 514, 766, 1016, 1266, 1517, 1768, 2018, 2268]",2268,40,4000,0.5,2.0,0.05,650,250,0.4,50,0.3,0.01,10.0
8,5,73702.8866,1228.3814,940,1940.941,0.2104,1590,50.15,6,"[258, 511, 761, 1013, 1263, 1513]",1513,40,4000,0.5,2.0,0.05,650,250,0.4,50,0.3,0.01,10.0
8,6,78175.3912,1302.9232,897,1903.2744,0.1461,1547,48.21,6,"[268, 523, 775, 1026, 1276, 1526]",1526,40,4000,0.5,2.0,0.05,650,250,0.4,50,0.3,0.01,10.0
8,7,81504.6646,1358.4111,378,1871.0996,0.142,1028,32.78,4,"[262, 513, 763, 1013]",1013,40,4000,0.5,2.0,0.05,650,250,0.4,50,0.3,0.01,10.0
8,8,79243.6737,1320.7279,468,1860.16,0.1839,1118,41.01,4,"[263, 517, 767, 1017]",1017,40,4000,0.5,2.0,0.05,650,250,0.4,50,0.3,0.01,10.0
